OrderID,ReturnDate,Reason
75722,2025-03-05,Damaged
80185,2025-01-24,Changed Mind
19865,2025-09-19,Late Delivery
76700,2025-04-10,Wrong Item
92992,2025-07-19,Changed Mind
76435,2024-05-11,Changed Mind
84005,2024-11-07,Changed Mind
80918,2025-11-18,Damaged
60768,2025-11-24,Defective
50075,2025-03-08,Changed Mind
27702,2024-06-22,Late Delivery
42142,2025-09-13,Wrong Item
45081,2025-07-11,Late Delivery
16639,2025-09-25,Damaged
20425,2025-09-12,Damaged
88703,2024-08-22,Late Delivery
150,2025-08-14,Defective
1762,2025-06-12,Damaged
63121,2024-05-10,Damaged
69162,2024-10-06,Late Delivery
64884,2024-02-13,Damaged
2496,2025-10-05,Defective
80297,2024-11-14,Defective
19448,2025-08-05,Defective
41332,2025-10-24,Wrong Item
14889,2025-06-13,Defective
88637,2025-04-20,Defective
94893,2025-03-16,Wrong Item
92732,2024-09-09,Changed Mind
29131,2025-04-26,Damaged
79023,2024-02-20,Defective
84937,2025-10-16,Damaged
16822,2024-05-31,Late Delivery
36734,2024-02-22,Damaged
15603,2024-04-19,Wrong Item
28534,2025-01-24,Damaged
69770,2025-05-15,Damaged
11406,2024-12-01,Damaged
96853,2025-03-09,Changed Mind
16131,2024-12-05,Changed Mind
19793,2024-11-01,Late Delivery
89578,2024-04-10,Wrong Item
40164,2025-07-06,Damaged
31777,2025-04-07,Damaged
25331,2024-01-22,Damaged
79157,2025-05-20,Damaged
51686,2025-06-25,Changed Mind
75499,2025-09-12,Late Delivery
4728,2025-03-14,Defective
85199,2025-07-09,Wrong Item
35796,2025-01-14,Damaged
12257,2024-10-16,Late Delivery
35719,2024-06-25,Defective
70552,2024-07-27,Late Delivery
54375,2025-05-30,Changed Mind
39692,2024-08-16,Defective
93703,2025-07-29,Late Delivery
73692,2024-05-15,Changed Mind
98071,2024-08-13,Late Delivery
576,2025-09-20,Late Delivery
84611,2025-04-20,Defective
61770,2024-06-22,Changed Mind
32261,2025-07-27,Damaged
82200,2024-08-06,Wrong Item
36291,2024-11-15,Defective
78450,2025-08-30,Changed Mind
60056,2025-12-06,Late Delivery
45949,2024-06-24,Changed Mind
28178,2025-02-05,Wrong Item
84464,2024-08-31,Wrong Item
579,2025-10-06,Damaged
30960,2025-07-06,Damaged
64291,2025-08-04,Wrong Item
14532,2025-08-16,Defective
17934,2024-09-23,Defective
33609,2025-08-01,Late Delivery
49960,2025-01-05,Damaged
66599,2024-02-03,Late Delivery
99090,2024-12-07,Damaged
34452,2025-01-02,Wrong Item
34081,2024-01-18,Defective
63588,2025-12-25,Defective
4294,2025-02-28,Wrong Item
69103,2025-07-12,Late Delivery
86412,2025-10-03,Late Delivery
99477,2025-08-11,Changed Mind
53930,2024-07-05,Damaged
87071,2024-07-23,Late Delivery
65084,2024-05-09,Wrong Item
30713,2024-03-26,Late Delivery
49183,2025-05-12,Defective
57235,2024-11-28,Damaged
15664,2025-03-25,Changed Mind
19967,2025-09-29,Damaged
91913,2024-07-04,Defective
91958,2024-12-13,Defective
81347,2024-09-28,Defective
55326,2024-11-14,Defective
29858,2025-01-27,Wrong Item
71223,2024-09-17,Changed Mind
52459,2024-05-15,Defective
88346,2025-06-14,Defective
82364,2025-07-09,Late Delivery
65350,2025-11-20,Changed Mind
59650,2025-07-24,Damaged
44953,2024-08-28,Changed Mind
39526,2024-01-21,Changed Mind
13936,2024-04-20,Changed Mind
93781,2024-05-15,Defective
89885,2024-01-30,Defective
81144,2025-02-05,Wrong Item
95800,2025-12-12,Damaged
89405,2025-08-24,Late Delivery
55224,2025-03-09,Changed Mind
73646,2025-08-01,Damaged
66294,2024-02-15,Damaged
65540,2025-06-17,Wrong Item
28111,2025-09-27,Late Delivery
41929,2024-08-01,Changed Mind
86547,2025-05-02,Late Delivery
82586,2025-01-04,Wrong Item
38604,2025-07-26,Defective
91658,2024-03-07,Damaged
62787,2025-07-18,Changed Mind
84341,2024-10-12,Defective
39875,2024-02-26,Wrong Item
78469,2025-01-24,Late Delivery
31632,2024-09-27,Damaged
14953,2025-08-18,Changed Mind
39332,2025-01-02,Defective
48588,2024-04-06,Defective
83595,2024-10-09,Damaged
41488,2025-03-08,Late Delivery
39628,2025-09-06,Wrong Item
87895,2026-01-10,Late Delivery
26304,2024-05-02,Late Delivery
67404,2025-02-15,Late Delivery
98085,2025-11-06,Damaged
95602,2025-06-08,Damaged
5020,2026-01-06,Wrong Item
5224,2025-08-31,Late Delivery
15781,2025-12-29,Damaged
45557,2024-12-04,Wrong Item
12897,2024-07-18,Wrong Item
34305,2025-10-27,Late Delivery
93323,2024-11-08,Changed Mind
5325,2024-06-26,Late Delivery
52926,2025-08-24,Changed Mind
62865,2025-06-18,Wrong Item
8019,2026-01-04,Damaged
82945,2024-04-29,Defective
90377,2025-12-19,Wrong Item
41721,2025-04-05,Damaged
867,2024-04-16,Wrong Item
98444,2024-07-30,Late Delivery
83040,2025-05-31,Changed Mind
13925,2026-01-09,Wrong Item
79893,2025-05-28,Damaged
31184,2024-02-10,Late Delivery
13800,2024-09-08,Defective
40989,2024-03-09,Late Delivery
66734,2025-01-11,Changed Mind
78331,2024-06-09,Late Delivery
24379,2025-04-23,Defective
23415,2025-02-13,Damaged
97560,2024-05-03,Wrong Item
22993,2025-12-10,Changed Mind
3232,2025-07-20,Defective
41996,2024-03-31,Changed Mind
49188,2024-01-15,Late Delivery
22515,2025-03-13,Changed Mind
21326,2024-07-10,Defective
86234,2025-10-28,Wrong Item
88127,2025-11-14,Wrong Item
29824,2025-11-03,Changed Mind
92485,2025-09-26,Damaged
68425,2024-02-04,Changed Mind
64484,2025-02-08,Late Delivery
51020,2025-12-25,Wrong Item
26754,2024-03-08,Wrong Item
49964,2025-06-03,Wrong Item
42732,2025-02-03,Damaged
29057,2024-06-20,Damaged
55318,2025-07-06,Defective
35497,2024-09-14,Changed Mind
56338,2025-05-14,Changed Mind
79278,2025-12-27,Late Delivery
5465,2024-01-24,Wrong Item
70156,2025-01-05,Damaged
70670,2025-01-30,Late Delivery
56014,2024-12-08,Late Delivery
12086,2025-04-19,Damaged
56819,2024-05-14,Changed Mind
20001,2025-01-22,Wrong Item
69067,2024-12-05,Changed Mind
50453,2025-05-29,Late Delivery
90710,2025-10-09,Wrong Item
52885,2025-06-04,Defective
30964,2025-06-10,Late Delivery
34574,2024-01-13,Changed Mind
15295,2024-11-21,Changed Mind
27919,2024-02-07,Changed Mind
46121,2025-10-06,Damaged
35074,2025-04-12,Late Delivery
10551,2025-06-24,Wrong Item
91128,2024-03-29,Changed Mind
691,2024-11-04,Changed Mind
77730,2025-11-09,Damaged
36097,2025-01-31,Wrong Item
65352,2024-07-06,Late Delivery
11041,2025-10-05,Defective
4222,2025-08-13,Damaged
822,2025-10-15,Late Delivery
38129,2024-02-07,Defective
89152,2025-05-02,Changed Mind
29232,2025-08-29,Changed Mind
50557,2024-12-02,Wrong Item
33685,2024-06-29,Defective
58754,2024-12-20,Changed Mind
27023,2024-12-19,Changed Mind
36906,2024-08-24,Wrong Item
271,2024-12-08,Late Delivery
8867,2025-06-01,Changed Mind
15007,2024-09-11,Damaged
4689,2024-07-21,Damaged
81996,2025-02-15,Late Delivery
84373,2024-10-21,Defective
2515,2024-10-17,Wrong Item
36400,2024-10-12,Damaged
38869,2024-01-27,Damaged
58245,2024-08-09,Late Delivery
30410,2024-02-10,Defective
54795,2025-09-11,Defective
19264,2024-02-06,Late Delivery
83910,2025-11-11,Damaged
26974,2025-07-31,Wrong Item
7130,2026-01-05,Damaged
7145,2024-05-31,Defective
45466,2024-11-06,Damaged
1967,2024-12-14,Wrong Item
15153,2024-09-19,Changed Mind
19114,2024-05-12,Damaged
76207,2025-10-25,Late Delivery
32142,2025-07-27,Changed Mind
21935,2025-03-24,Late Delivery
40360,2025-11-23,Late Delivery
