Date,DateID,Year,Quarter,Month,MonthName,Week,Day,Weekday,Weekend
2024-01-01,1,2024,1,1,January,1,1,Monday,0
2024-01-02,2,2024,1,1,January,1,2,Tuesday,0
2024-01-03,3,2024,1,1,January,1,3,Wednesday,0
2024-01-04,4,2024,1,1,January,1,4,Thursday,0
2024-01-05,5,2024,1,1,January,1,5,Friday,0
2024-01-06,6,2024,1,1,January,1,6,Saturday,1
2024-01-07,7,2024,1,1,January,1,7,Sunday,1
2024-01-08,8,2024,1,1,January,2,8,Monday,0
2024-01-09,9,2024,1,1,January,2,9,Tuesday,0
2024-01-10,10,2024,1,1,January,2,10,Wednesday,0
2024-01-11,11,2024,1,1,January,2,11,Thursday,0
2024-01-12,12,2024,1,1,January,2,12,Friday,0
2024-01-13,13,2024,1,1,January,2,13,Saturday,1
2024-01-14,14,2024,1,1,January,2,14,Sunday,1
2024-01-15,15,2024,1,1,January,3,15,Monday,0
2024-01-16,16,2024,1,1,January,3,16,Tuesday,0
2024-01-17,17,2024,1,1,January,3,17,Wednesday,0
2024-01-18,18,2024,1,1,January,3,18,Thursday,0
2024-01-19,19,2024,1,1,January,3,19,Friday,0
2024-01-20,20,2024,1,1,January,3,20,Saturday,1
2024-01-21,21,2024,1,1,January,3,21,Sunday,1
2024-01-22,22,2024,1,1,January,4,22,Monday,0
2024-01-23,23,2024,1,1,January,4,23,Tuesday,0
2024-01-24,24,2024,1,1,January,4,24,Wednesday,0
2024-01-25,25,2024,1,1,January,4,25,Thursday,0
2024-01-26,26,2024,1,1,January,4,26,Friday,0
2024-01-27,27,2024,1,1,January,4,27,Saturday,1
2024-01-28,28,2024,1,1,January,4,28,Sunday,1
2024-01-29,29,2024,1,1,January,5,29,Monday,0
2024-01-30,30,2024,1,1,January,5,30,Tuesday,0
2024-01-31,31,2024,1,1,January,5,31,Wednesday,0
2024-02-01,32,2024,1,2,February,5,1,Thursday,0
2024-02-02,33,2024,1,2,February,5,2,Friday,0
2024-02-03,34,2024,1,2,February,5,3,Saturday,1
2024-02-04,35,2024,1,2,February,5,4,Sunday,1
2024-02-05,36,2024,1,2,February,6,5,Monday,0
2024-02-06,37,2024,1,2,February,6,6,Tuesday,0
2024-02-07,38,2024,1,2,February,6,7,Wednesday,0
2024-02-08,39,2024,1,2,February,6,8,Thursday,0
2024-02-09,40,2024,1,2,February,6,9,Friday,0
2024-02-10,41,2024,1,2,February,6,10,Saturday,1
2024-02-11,42,2024,1,2,February,6,11,Sunday,1
2024-02-12,43,2024,1,2,February,7,12,Monday,0
2024-02-13,44,2024,1,2,February,7,13,Tuesday,0
2024-02-14,45,2024,1,2,February,7,14,Wednesday,0
2024-02-15,46,2024,1,2,February,7,15,Thursday,0
2024-02-16,47,2024,1,2,February,7,16,Friday,0
2024-02-17,48,2024,1,2,February,7,17,Saturday,1
2024-02-18,49,2024,1,2,February,7,18,Sunday,1
2024-02-19,50,2024,1,2,February,8,19,Monday,0
2024-02-20,51,2024,1,2,February,8,20,Tuesday,0
2024-02-21,52,2024,1,2,February,8,21,Wednesday,0
2024-02-22,53,2024,1,2,February,8,22,Thursday,0
2024-02-23,54,2024,1,2,February,8,23,Friday,0
2024-02-24,55,2024,1,2,February,8,24,Saturday,1
2024-02-25,56,2024,1,2,February,8,25,Sunday,1
2024-02-26,57,2024,1,2,February,9,26,Monday,0
2024-02-27,58,2024,1,2,February,9,27,Tuesday,0
2024-02-28,59,2024,1,2,February,9,28,Wednesday,0
2024-02-29,60,2024,1,2,February,9,29,Thursday,0
2024-03-01,61,2024,1,3,March,9,1,Friday,0
2024-03-02,62,2024,1,3,March,9,2,Saturday,1
2024-03-03,63,2024,1,3,March,9,3,Sunday,1
2024-03-04,64,2024,1,3,March,10,4,Monday,0
2024-03-05,65,2024,1,3,March,10,5,Tuesday,0
2024-03-06,66,2024,1,3,March,10,6,Wednesday,0
2024-03-07,67,2024,1,3,March,10,7,Thursday,0
2024-03-08,68,2024,1,3,March,10,8,Friday,0
2024-03-09,69,2024,1,3,March,10,9,Saturday,1
2024-03-10,70,2024,1,3,March,10,10,Sunday,1
2024-03-11,71,2024,1,3,March,11,11,Monday,0
2024-03-12,72,2024,1,3,March,11,12,Tuesday,0
2024-03-13,73,2024,1,3,March,11,13,Wednesday,0
2024-03-14,74,2024,1,3,March,11,14,Thursday,0
2024-03-15,75,2024,1,3,March,11,15,Friday,0
2024-03-16,76,2024,1,3,March,11,16,Saturday,1
2024-03-17,77,2024,1,3,March,11,17,Sunday,1
2024-03-18,78,2024,1,3,March,12,18,Monday,0
2024-03-19,79,2024,1,3,March,12,19,Tuesday,0
2024-03-20,80,2024,1,3,March,12,20,Wednesday,0
2024-03-21,81,2024,1,3,March,12,21,Thursday,0
2024-03-22,82,2024,1,3,March,12,22,Friday,0
2024-03-23,83,2024,1,3,March,12,23,Saturday,1
2024-03-24,84,2024,1,3,March,12,24,Sunday,1
2024-03-25,85,2024,1,3,March,13,25,Monday,0
2024-03-26,86,2024,1,3,March,13,26,Tuesday,0
2024-03-27,87,2024,1,3,March,13,27,Wednesday,0
2024-03-28,88,2024,1,3,March,13,28,Thursday,0
