ProductID,Category,Brand,ProductName,Cost,Price,UnitsSold,Revenue,Profit,Orders
1,Electronics,Fusion,Camera,41.86,59.86,336,19146.22,5081.26,88
2,Sports,Prime,Tennis Racket,392.99,738.82,254,178498.94,78679.48,77
3,Electronics,Prime,Tablet,92.41,117.36,330,36745.4,6250.099999999999,89
4,Electronics,Atlas,Phone,606.35,897.4,403,340473.56,96114.51,104
5,Electronics,Prime,Laptop,186.82,375.51,466,166632.59,79574.47,121
6,Furniture,Vertex,Cabinet,664.17,1162.3,226,242281.41,92178.99,71
7,Sports,Atlas,Football,267.77,546.25,308,162072.4,79599.24,83
8,Electronics,Nova,Headphones,191.12,261.83,406,99547.81,21953.09,107
9,Furniture,Vertex,Bookshelf,435.26,661.6,322,203872.04,63718.32,83
10,Sports,Apex,Tennis Racket,453.4,875.06,272,222002.68,98677.88,87
11,Home,Fusion,Blender,115.22,169.37,427,68798.06,19599.12,105
12,Furniture,Fusion,Standing Desk,506.96,1079.82,188,190750.25,95441.77,82
13,Furniture,Nova,Desk,220.16,453.53,406,174246.16999999998,84861.21,104
14,Home,Pioneer,Vacuum,576.32,876.01,335,282469.48,89402.28,91
15,Home,Prime,Coffee Maker,251.5,510.54,376,183896.48,89332.48,101
16,Clothing,Pioneer,T-Shirt,134.68,278.79,316,84027.26,41468.38,92
17,Clothing,Vertex,Jeans,382.71,539.62,359,184361.19,46968.3,97
18,Electronics,Prime,Phone,331.53,510.56,432,213643.81,70422.85,112
19,Clothing,Atlas,Jeans,361.52,817.04,172,133912.86,71731.42,60
20,Sports,Apex,Basketball,541.57,1083.14,195,203522.04,97915.89,75
21,Furniture,Prime,Cabinet,489.7,866.77,292,238058.36,95065.96,90
22,Clothing,Atlas,Jeans,509.22,687.45,422,275289.41,60398.57,111
23,Electronics,Nova,Mouse,31.09,60.94,311,18218.02,8549.03,77
24,Clothing,Prime,Jacket,147.22,212.0,420,84015.6,22183.2,104
25,Clothing,Apex,Jacket,580.83,859.63,354,288835.72,83221.9,93
