Dataset,Column,DataType
Customers,CustomerID,int64
Customers,CustomerName,object
Customers,Email,object
Customers,Phone,object
Customers,City,object
Customers,State,object
Customers,Region,object
Customers,Segment,object
Customers,SignupDate,datetime64[ns]
Products,ProductID,int64
Products,Category,object
Products,Brand,object
Products,ProductName,object
Products,Cost,float64
Products,Price,float64
Stores,StoreID,int64
Stores,StoreName,object
Stores,City,object
Stores,State,object
Stores,Region,object
Stores,Manager,object
Stores,OpenDate,datetime64[ns]
Orders,OrderID,int64
Orders,CustomerID,float64
Orders,ProductID,int64
Orders,StoreID,int64
Orders,OrderDate,datetime64[ns]
Orders,Quantity,int64
Orders,UnitPrice,float64
Orders,UnitCost,float64
Orders,Discount,float64
Orders,Sales,float64
Orders,Profit,float64
Orders,ShippingMethod,object
Orders,PaymentMethod,object
Orders,Status,object
Orders,Weekday,int64
Orders,Month,int64
Orders,SeasonFactor,float64
Orders,ShippingDays,int64
Orders,ShipDate,datetime64[ns]
Returns,OrderID,int64
Returns,ReturnDate,datetime64[ns]
Returns,Reason,object
